export id,app settings,dataset,dataset id,ROI Name,Channel Identifier,Raw Channel Identifier,Population Phenotypes (Raw Channel Names),Population Phenotypes (User Selected Names),Number of clusters,Count Type
3,ADSC EV_PS capture,Chip1 ON Lane1 FOV-2,d-nbi7vakwrrm25reedp8,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch2+,"double positive CD63-CF568, CD9-CF488",6,binned
3,ADSC EV_PS capture,Chip1 ON Lane1 FOV-2,d-nbi7vakwrrm25reedp8,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch1ch2+,"double positive CD81-CF647, CD9-CF488",10,binned
3,ADSC EV_PS capture,Chip1 ON Lane1 FOV-2,d-nbi7vakwrrm25reedp8,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch1ch2+,"triple positive CD63-CF568, CD81-CF647, CD9-CF488",197,binned
3,ADSC EV_PS capture,Chip1 ON Lane1 FOV-2,d-nbi7vakwrrm25reedp8,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,all negative,"all negative CD63-CF568, CD81-CF647, CD9-CF488",0,binned
4,ADSC EV_PS capture,Chip1 ON Lane1 FOV-3,d-0ilkththlhcfxaraoj9,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0+,single positive CD63-CF568,9,binned
4,ADSC EV_PS capture,Chip1 ON Lane1 FOV-3,d-0ilkththlhcfxaraoj9,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch1+,single positive CD81-CF647,28,binned
4,ADSC EV_PS capture,Chip1 ON Lane1 FOV-3,d-0ilkththlhcfxaraoj9,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch2+,single positive CD9-CF488,4,binned
4,ADSC EV_PS capture,Chip1 ON Lane1 FOV-3,d-0ilkththlhcfxaraoj9,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch1+,"double positive CD63-CF568, CD81-CF647",159,binned
4,ADSC EV_PS capture,Chip1 ON Lane1 FOV-3,d-0ilkththlhcfxaraoj9,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch2+,"double positive CD63-CF568, CD9-CF488",4,binned
4,ADSC EV_PS capture,Chip1 ON Lane1 FOV-3,d-0ilkththlhcfxaraoj9,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch1ch2+,"double positive CD81-CF647, CD9-CF488",8,binned
4,ADSC EV_PS capture,Chip1 ON Lane1 FOV-3,d-0ilkththlhcfxaraoj9,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,ch0ch1ch2+,"triple positive CD63-CF568, CD81-CF647, CD9-CF488",180,binned
4,ADSC EV_PS capture,Chip1 ON Lane1 FOV-3,d-0ilkththlhcfxaraoj9,Full Field of View, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters, CD63-CF568-CD81-CF647-CD9-CF488 Merged Clusters,all negative,"all negative CD63-CF568, CD81-CF647, CD9-CF488",0,binned
